Date,Dataset,Predicted Price,Trend
2020-08-13,processed_ds1,33412.21,Increase
2020-08-14,processed_ds1,32819.5,Decrease
2020-08-15,processed_ds1,33098.63,Increase
2020-08-16,processed_ds1,33007.113,Decrease
2020-08-17,processed_ds1,34003.07,Increase
2020-08-18,processed_ds1,32355.95,Decrease
2020-08-19,processed_ds1,32535.057,Increase
2020-08-20,processed_ds1,33110.777,Increase
2020-08-21,processed_ds1,32244.29,Decrease
2020-08-22,processed_ds1,33168.133,Increase
2020-08-23,processed_ds1,32804.695,Decrease
2020-08-24,processed_ds1,33120.438,Increase
2020-08-25,processed_ds1,32119.412,Decrease
2020-08-26,processed_ds1,33157.145,Increase
2020-08-27,processed_ds1,32604.742,Decrease
2020-08-28,processed_ds1,33300.402,Increase
2020-08-29,processed_ds1,32686.246,Decrease
2020-08-30,processed_ds1,33391.957,Increase
2020-08-31,processed_ds1,32730.537,Decrease
2020-09-01,processed_ds1,33589.992,Increase
2020-09-02,processed_ds1,32066.158,Decrease
2020-09-03,processed_ds1,31134.227,Decrease
2020-09-04,processed_ds1,33696.125,Increase
2020-09-05,processed_ds1,32032.037,Decrease
2020-09-06,processed_ds1,33246.652,Increase
2020-09-07,processed_ds1,33001.63,Decrease
2020-09-08,processed_ds1,32227.848,Decrease
2020-09-09,processed_ds1,32957.855,Increase
2020-09-10,processed_ds1,32983.094,Increase
2020-09-11,processed_ds1,32800.74,Decrease
2020-09-12,processed_ds1,32815.402,Increase
2020-09-13,processed_ds1,32470.994,Decrease
2020-09-14,processed_ds1,33732.938,Increase
2020-09-15,processed_ds1,33029.977,Decrease
2020-09-16,processed_ds1,33211.57,Increase
2020-09-17,processed_ds1,32765.533,Decrease
2020-09-18,processed_ds1,32742.51,Decrease
2020-09-19,processed_ds1,33146.19,Increase
2020-09-20,processed_ds1,32443.336,Decrease
2020-09-21,processed_ds1,31837.424,Decrease
2020-09-22,processed_ds1,32980.63,Increase
2020-09-23,processed_ds1,32088.879,Decrease
2020-09-24,processed_ds1,34279.99,Increase
2020-09-25,processed_ds1,32608.133,Decrease
2020-09-26,processed_ds1,32804.29,Increase
2020-09-27,processed_ds1,32845.58,Increase
2020-09-28,processed_ds1,32563.877,Decrease
2020-09-29,processed_ds1,33095.54,Increase
2020-09-30,processed_ds1,32582.447,Decrease
2020-10-01,processed_ds1,32460.46,Decrease
2020-10-02,processed_ds1,32623.922,Increase
2020-10-03,processed_ds1,32608.941,Decrease
2020-10-04,processed_ds1,33020.08,Increase
2020-10-05,processed_ds1,33000.67,Decrease
2020-10-06,processed_ds1,32325.434,Decrease
2020-10-07,processed_ds1,32860.613,Increase
2020-10-08,processed_ds1,33415.508,Increase
2020-10-09,processed_ds1,33091.625,Decrease
2020-10-10,processed_ds1,33435.3,Increase
2020-10-11,processed_ds1,32967.645,Decrease
2020-10-12,processed_ds1,33284.258,Increase
2020-10-13,processed_ds1,32602.152,Decrease
2020-10-14,processed_ds1,32829.05,Increase
2020-10-15,processed_ds1,33046.33,Increase
2020-10-16,processed_ds1,32467.643,Decrease
2020-10-17,processed_ds1,32881.57,Increase
2020-10-18,processed_ds1,33142.773,Increase
